;question	answer	card_export_column__field_a	card_export_column__field_b	card_export_column__field_c	tags	c_Added	c_LatestReview	c_Due	c_Interval_in_Days	c_Ease	c_Reviews	c_Lapses	c_CardType	c_NoteType	c_Deck	c_NoteID	c_CardID	allrevs
;問題	答案
伯仲之間	伯仲，兄弟間排行的次序。「伯仲之間」形容人才能相當，不相上下。語出三國魏．文帝〈典論論文〉。
走投無路	無路可走。形容處境窘困。※語或出元．楊顯之《瀟湘雨》第三折。
呼風喚雨	有召喚風雨的法力。※語或出宋．孫覿〈罨畫谿行〉詩四首之一。後亦用「呼風喚雨」來比喻人神通廣大、影響力深遠。
茅塞頓開	被茅草阻塞的山路，豁然開通了。比喻閉塞的心思，頓時豁然了悟。語本《孟子．盡心下》。
生靈塗炭	生靈，人民、百姓。「生靈塗炭」指人民生活陷於泥沼和炭火之中。形容人民處於極端艱苦的困境。語出《晉書．卷一一五．苻丕載記》。 △「民不聊生」、「民墜塗炭」
登峰造極	本指登上山峰，到達絕頂。比喻成就達到極點或造詣高深精絕。＃語出南朝宋．劉義慶《世說新語．文學》。
正襟危坐	整理服裝儀容，端正坐好。形容莊重誠敬的樣子。語出《史記．卷一二七．日者列傳》。
目中無人	眼中除自己外，沒有他人。形容人高傲自大，瞧不起別人。※語或出《初刻拍案驚奇》卷一三。 △「目空一切」、「旁若無人」
順水推舟	順著水流推船。比喻順應情勢行事。※語或本《四字經．戊己》。 △「因勢利導」
節衣縮食	縮，節省。形容生活節儉。語本《史記．卷一二九．貨殖列傳．白圭》。
招搖撞騙	形容憑藉他人名聲，到處炫耀、詐騙。※語或出《紅樓夢》第一○六回。
杯盤狼藉	藉，草墊，又作「籍」。狼藉，狼臥息的草堆，傳說狼臥息在草堆上，離去時常將草堆弄得凌亂，以免留下蹤跡，後來引申為不整齊的樣子。「杯盤狼藉」形容酒席完畢，杯盤散亂的情形。語出《史記．卷一二六．滑稽列傳．淳于髡》。
游刃有餘	即「遊刃有餘」。見「遊刃有餘」條。01.晉．孫盛〈老聃非大賢論〉：「茍得其道，則游刃有餘，觸地元吉，何違天心于戎貊？」02.《螢窗異草．卷三．青眉》：「儂視君之業，雖未能游刃有餘，而尚可以進乎技。」
懸崖勒馬	「懸崖勒馬」之「懸」，典源作「臨」。臨到懸崖時，緊勒住馬，不繼續前進。比喻到了危險的邊緣而及時回頭。※語或本元．鄭光祖《智勇定齊》第三折。
肆無忌憚	形容人恣意妄為，毫無顧忌。語本《禮記．中庸》。
手不釋卷	手裡總是拿著書卷。形容人勤奮好學。＃語出三國魏．文帝《典論．自敘》。
春風得意	春風吹拂中，心情怡然自得，指登進士第後稱心如意的感受。語出唐．孟郊〈登科後〉詩。後用「春風得意」形容人因事情如願以償而心情愉悅滿足。 △「走馬看花」、「躊躇滿志」
不足掛齒	不值得放在嘴上。指人或事物輕微，不值得一提。表示輕視或謙虛。 ＃語本《史記．卷九九．劉敬叔孫通列傳．叔孫通》。 △「不足齒數」
不識時務	比喻不知利用時運以求通達。語出《後漢書．卷三六．鄭范陳賈張列傳．張霸》。後亦用「不識時務」形容不了解眼前狀況的愚魯態度。 △「不知時變」
石破天驚	形容樂器彈奏出來的聲音激越高亢，驚天動地。語出唐．李賀〈李憑箜篌引〉。後用「石破天驚」形容事物或言論新奇驚人。
覆水難收	已經潑出去的水很難收回。比喻離異的夫妻很難再復合。 ＃典出宋．王楙《野客叢書．卷二八．心堅石穿覆水難收》。後亦用「覆水難收」比喻既定的事實很難再改變。 △「反水不收」
難兄難弟	「難兄難弟」之「難」，有二讀，其意義也不同：(一)音ㄋㄢˊ，本義是做弟弟的太好，那麼做哥哥的人就「難為兄」，而做哥哥的太好，做弟弟的人就「難為弟」，是形容兄弟二人才德相當，難分高下。語本南朝宋．劉義慶《世說新語．德行》。後世多反用其義，諷刺兩人同樣差勁，表現差不多。(二)音ㄋㄢˋ，形容同處困境、共同患難的朋友。 △「患難之交」
海闊天空	形容天地遼闊而無邊際。※語或本北周．庾信〈道士步虛詞〉一○首之一○。後用「海闊天空」比喻心胸開闊、心情開朗，或形容無拘無束，漫無邊際的樣子。 △「天南地北」
偷天換日	比喻騙局之大與技巧之妙。※語或出《群音類選．官腔類．卷一一．竊符記．如姬竊符》。 △「移花接木」
七上八下	(一)形容心情起伏不定、忐忑不安。※語或出《大慧普覺禪師語錄．卷二一．示呂機宜》。 (二)或七之上，或八之下。形容普通而不出眾。※語或出宋．趙令畤《侯鯖錄》卷七。
孤芳自賞	比喻自命清高，自我欣賞。語本南朝梁．沈約〈謝齊竟陵王教撰高士傳啟〉。 △「自命不凡」
束手無策	束，捆住。策，計策。捆住雙手，無計策可施。比喻面對問題時，毫無解決的辦法。語本《集異記》。
心心相印	指禪宗修行者，師徒不須經由文字、言語的傳達，即能兩心契合，互通禪理。 ＃語本《黃檗山斷際禪師傳心法要》。後用「心心相印」比喻彼此心意互通。
空穴來風	有空穴，就會把風招來。 ＃語出戰國楚．宋玉〈風賦〉。後用「空穴來風」比喻事出有因，流言乘隙而入。或比喻憑空捏造不實的傳言。
步步為營	軍隊前進一程，就建立一個營壘，嚴防敵人攻擊。※語或出《三國演義》第七一回。後用「步步為營」比喻行動謹慎，防備周全。
坐以待斃	坐著等死。比喻面臨危難，不採取積極的應變措施，只坐等敗亡。 ＃語本《管子．參患》。 △「束手就擒」
一舉兩得	比喻做一件事，同時有兩方面的收穫。 ＃◎語本《戰國策．秦策二》。 △「一箭雙雕」
心照不宣	彼此心裡明白，不必言語說明。語本晉．潘岳〈夏侯常侍誄〉。
一介不取	一枝小草也不隨便拿別人的。語本《孟子．萬章上》。後用「一介不取」形容人的操守非常清廉。
守口如瓶	嘴像瓶口一樣封得嚴緊。語出《法苑珠林．卷四七．懲過篇．引證部》。後用「守口如瓶」比喻嚴守祕密。 △「防意如城」、「諱莫如深」
人云亦云	別人說什麼，自己也隨聲附和。※語或出宋．蘇軾〈次韻定慧欽長老見寄〉詩八首之二。後用「人云亦云」形容沒有獨自的見解，只會盲從跟隨。 △「拾人牙慧」、「拾人涕唾」
自投羅網	自己投入羅網裡。比喻落入他人圈套或自取禍害。語本三國魏．曹植〈野田黃雀行〉。 △「自掘墳墓」
人面獸心	形容文化未開，不懂禮儀，表面上看起來像是人，內心卻像野獸一般。語出《漢書．卷九四．匈奴傳下》。後用「人面獸心」形容人凶狠殘暴，如野獸一般。 △「衣冠禽獸」
忘恩負義	受人恩惠不知報答，反而做出對不起恩人的事情。語本《漢書．卷七六．趙尹韓張兩王傳．張敞》。 △「五日京兆」、「背信棄義」
力透紙背	寫字時，運筆的力量穿透到紙的另一面。形容人的書法遒勁有力。語本唐．顏真卿〈張長史十二意筆法記〉。後亦用「力透紙背」形容文章立意深刻有力。
成竹在胸	即「胸有成竹」。見「胸有成竹」條。
小心翼翼	形容舉止十分謹慎，不敢懈怠疏忽。◎語出《詩經．大雅．大明》。
一目十行	一次可同時閱讀十行文字。形容閱讀速度的快速。※＃語或本漢．孔融〈汝潁優劣論〉。
大逆不道	指謀反背叛，罪大惡極。＃語本《史記．卷八．高祖本紀》。後亦用「大逆不道」指違反倫常，罪惡深重。 △「大逆不忠」
口碑載道	眾人稱頌的話語，就像鐫刻在記功碑上一樣，到處流傳。比喻廣受好評。＃語本《續傳燈錄．卷二二．永州太平安禪師》。
失之交臂	「失之交臂」，典源作「交臂失之」。交臂，走路時胳膊相碰觸。兩人擦肩而過，錯失見面的機會。語本《莊子．田子方》。後用「失之交臂」指錯失機會。 △「亦步亦趨」、「奔逸絕塵」、「望塵莫及」、「瞠乎其後」
上行下效	在上位的人怎麼做，下面的人就起而效法。＃語本漢．班固《白虎通．卷八．三教》。
一刀兩斷	一刀將物品砍斷為二，形容處理事情堅決果斷，乾脆俐落。語本唐．寒山〈詩〉。後用「一刀兩斷」比喻堅決地斷絕關係。
川流不息	像河川般奔流不停，比喻時光無止盡地流逝。※語或本《論語．子罕》。後用「川流不息」形容連綿不絕或往返不斷。 △「絡繹不絕」
毛骨悚然	從外在的毛髮到骨頭裡都感到害怕。形容極端驚懼害怕。悚然，恐懼之意。語本宋．洪邁《夷堅志．丁志．卷七．大渾王》。 △「毛髮森豎」、「毛髮聳然」
天涯海角	「天涯海角」之「海」，典源作「地」。形容偏僻或相距遙遠的地方。※語或本南朝陳．徐陵〈武皇帝作相時與嶺南酋豪書〉。 △「天南地北」、「天涯海際」
先聲奪人	謂先張大聲威，以挫敗敵人士氣。◎語本《左傳．宣公十二年》。
心不在焉	心不在其位。比喻心思不集中。語出《禮記．大學》。 △「心猿意馬」
心花怒放	形容心情極其快活。「心花」一詞，※語或本《圓覺經》之「心華發明」。「心華發明」指如花純淨的本心，豁然開朗，發放光明。
九死一生	「九死」指歷經多次近於死亡之險境。見於戰國．楚．屈原〈離騷〉。「九死一生」形容歷經極大的危險而倖存。※語或本《六臣註文選．屈原．離騷》唐．劉良．注。後亦用「九死一生」表十死其九之意，比喻倖免於死的人很少，亦用於比喻生命跡象微弱，瀕臨死亡。 △「死裡逃生」、「虎口餘生」
三思而行	再三考慮，然後行動。比喻謹慎行事。語本《論語．公冶長》。
三長兩短	原指說長道短。※語或出元．無名氏〈驀山溪．不如歸去〉詞。後用「三長兩短」比喻意外的變故。
汗流浹背	「汗流浹背」指汗流很多，溼透了背部，本用以形容非常慚愧、驚恐的樣子。語本《史記．卷五六．陳丞相世家》。後亦用以形容工作辛勞，汗出溼背。
白駒過隙	「白駒過隙」之「隙」，典源作「郤」，「郤」通「隙」。白駒，駿馬。隙，縫隙。「白駒過隙」指快馬從縫隙一下子就奔馳過去。比喻時間過得很快。語本《莊子．知北遊》。 △「日月如梭」、「光陰似箭」、「歲月如流」
寸草春暉	寸草，小草，比喻子女。春暉，春天的陽光，比喻父母恩情。「寸草春暉」比喻父母恩情深重，子女難以報答。語本唐．孟郊〈遊子吟〉。
天造地設	天然所成就的。※語或出宋．陸游〈南園記〉。後亦用「天造地設」形容人或事物彼此配合得自然得體，渾然天成。
如數家珍	好像計算自家所珍藏的珠寶一樣。比喻敘述事物明晰熟練。※語或本《韓詩外傳》卷一。 △「一五一十」
如膠似漆	像漆和膠那樣地緊密黏著。比喻感情的堅固或親密。語本《韓詩外傳》卷九。 △「水乳交融」
冰消瓦解	像冰一樣融化了，像瓦一樣破碎了。比喻事物潰敗分裂。語本三國魏．陳琳〈檄吳將校部曲文〉。後亦用「冰消瓦解」比喻問題完全解決。
得寸進尺	得到一寸就是一寸，得到一尺就是一尺。指可掌握侵略所得的每一分土地。語本《戰國策．秦策三》。後用「得寸進尺」指得到一些利益，即想進而獲得更多利益。比喻貪得無厭。 △「得隴望蜀」
相形見絀	形，對比、比較。絀，不足、短缺。「相形見絀」比喻相互比較之下，其中一方顯得不如對方。※語或本《二十年目睹之怪現狀》第九○回。
情不自禁	感情激動得無法自我控制。語出南朝梁．劉遵〈七夕穿針〉詩。 △「不由自主」
弱不禁風	柔弱得禁不起風吹。※語或本唐．杜甫〈江雨有懷鄭典設〉詩。後用「弱不禁風」形容人身體十分瘦弱。
酒囊飯袋	譏稱只會吃喝，而不會辦事的無能之人。語本漢．王充《論衡．別通》。
想入非非	「想入非非」是從佛經中「非想非非想處」變化而來。「非想非非想處」指佛教禪修者修習至最高的境界。語本《大佛頂首楞嚴經》卷九。後來「想入非非」轉而用來形容脫離現實的想像或念頭。 △「胡思亂想」、「異想天開」
虛張聲勢	故意誇大聲威，張揚氣勢，用以嚇阻他人。語本《三國志．卷九．魏書．諸夏侯曹傳．曹休》。
虛與委蛇	心境空虛寂靜，隨物變化。語本《莊子．應帝王》。後用「虛與委蛇」形容假意慇懃，敷衍應付。
進退維谷	形容前進後退都無路可走的困窘處境。語出《詩經．大雅．桑柔》△「進退兩難」
後生可畏	比喻年輕人的成就超越先輩，令人敬畏。語出《論語．子罕》。
胸無點墨	胸中沒有一滴墨水。＃典出《新唐書．卷二○一．文藝列傳上．王勃》。比喻人毫無學識。 △「不學無術」、「目不識丁」
鬼鬼祟祟	形容行事不光明，偷偷摸摸的樣子。※語或出《紅樓夢》第二四回。 △「鬼頭鬼腦」
置若罔聞	置，放著。罔，沒有。「置若罔聞」指雖有耳聞，卻好像沒有聽到一樣不加理會。※＃語或出明．朱國幀《湧幢小品．卷九．閣臣相搆》。 △「置之不理」
風馳電掣	掣，急閃而過。「風馳電掣」指像風那樣奔跑，像電光那樣急閃而過。形容速度極快。語出《六韜．卷三．龍韜．王翼》。
捕風捉影	風和影子均無可捉摸，「捕風捉影」比喻所做的事或所說的話毫無根據，憑空揣測。語本《漢書．卷二五．郊祀志下》。 △「無中生有」
義不容辭	道義上不容許推卻。語出唐．岑文本〈唐故特進尚書右僕射上柱國虞恭公溫公碑〉。 △「責無旁貸」、「義不容隱」、「當仁不讓」、「義無反顧」
異想天開	不符實際、不合事理的奇特想法。※語或出清．無名氏〈都門紀變百詠〉其五七。 △「想入非非」
隔靴搔癢	隔著馬靴搔癢處。比喻未能透澈領悟佛理。※＃語或出《景德傳燈錄．卷二二．福州康山契穩法寶大師》。後用「隔靴搔癢」比喻不切實際，未能掌握要點。
雞鳴狗盜	戰國時秦昭王囚孟嘗君，打算加以殺害，孟嘗君得門下食客雞鳴狗盜的技能協助，得以脫難。典出《史記．卷七五．孟嘗君列傳》。後用「雞鳴狗盜」比喻有某種卑下技能的人，或指卑微的技能。亦用於形容卑劣低下的人或事。
當仁不讓	面臨仁義之事而不謙讓。語出《論語．衛靈公》。後用「當仁不讓」指遇到應該做的事，主動承擔起來，而不推讓。 △「義不容辭」、「責無旁貸」、「義無反顧」
鳳毛麟角	「鳳毛」，鳳凰的羽毛。語出南朝宋．劉義慶《世說新語．容止》。「麟角」，麒麟的角。語出三國魏．蔣濟〈萬機論〉。「鳳毛麟角」比喻稀罕珍貴的人、物。
滿面春風	春風吹拂滿臉上。※語或出宋．陳與義〈寓居劉倉廨中晚步過鄭倉臺上〉詩。後用「滿面春風」形容滿臉笑容，心情喜悅，或得意的情狀。
恍然大悟	猛然醒悟過來。語本唐．高彥休《唐闕史．卷上．裴丞相古器》。 △「豁然大悟」、「豁然貫通」、「豁然開朗」
美輪美奐	形容房屋規模高大、裝飾華美。語本《禮記．檀弓下》。
穿鑿附會	「穿鑿」，牽強的解釋，硬要把說不通的事情說通。語出《漢書．卷七二．王貢兩龔鮑傳．王吉》。「附會」之「附」，典源作「傅」，或作「傅會」，指牽引古事與時事相結合，並據以發表議論。後用「附會」比喻把不相關的事物牽連成有關聯。語本《史記．卷一○一．袁盎鼂錯列傳》。「穿鑿附會」指生拉硬扯，牽強解釋。 △「牽強附會」
咬文嚼字	形容在字句上推敲琢磨。※＃語或出元．秦&25cd1.jpg;夫《剪髮待賓》第二折。後用「咬文嚼字」形容拘泥於文字詮釋而流於見解迂腐、淺陋，亦用於形容好稱引古書以賣弄才學的淵博。
亡羊補牢	丟失了羊，就趕快修補羊圈。比喻犯錯後及時更正，尚能補救。語出《戰國策．楚策四》
諱疾忌醫	名醫扁鵲謁見過蔡桓公好幾次，都看出桓公有病，而且一次比一次嚴重，但桓公卻不肯承認，也不肯就醫，終至喪命。本指不承認有病，害怕去治療。可用來比喻問題本小不予處理，終致無法收拾。＃典出《韓非子．喻老》。後亦用「諱疾忌醫」比喻掩飾過失而不願聽人規勸。 △「文過飾非」
敷衍塞責	形容做事不認真負責，只是表面應付。※語或出清．張集馨《道咸宦海見聞錄．丁巳五十八歲》。 △「敷衍了事」
亦步亦趨	指學生追隨老師的腳步。語本《莊子．田子方》。後用「亦步亦趨」形容事事追隨或仿傚別人。 △「奔逸絕塵」、「望塵莫及」、「瞠乎其後」
葉公好龍	指古人葉公以喜歡龍聞名，但真龍下凡到他家，他卻被嚇得面無人色。比喻所好似是而非，以致表裡不一，有名無實。＃典出《莊子》逸文。
雕蟲小技	本指賦的寫作不足道。語本《法言．吾子》。後用「雕蟲小技」比喻微不足道的技能。
暗箭傷人	在隱蔽處放箭傷害他人。＃語本宋．劉炎《邇言》卷六。後用「暗箭傷人」比喻暗中用陰險的手段傷害人。 △「含沙射影」。
永垂不朽	永遠流傳而不可磨滅。＃語本漢．蔡邕〈胡公碑〉。 △「永垂竹帛」
隨波逐流	順著水流而行。比喻人沒有確定的方向和目標，只依從環境潮流行事。語本《史記．卷八四．屈原列傳》。 △「同流合汙」
出人頭地	高出一個頭。後指超越他人，獨露頭角。＃語本宋．歐陽修〈與梅聖俞書〉其三○。 △「出類拔萃」
暴跳如雷	暴躁得像打雷一樣猛烈。形容脾氣暴躁。語本無名氏〈古詩為焦仲卿妻作〉。後用「暴跳如雷」形容人急怒時跳腳吼叫的樣子。 △「大發雷霆」
克勤克儉	既能勤勞又能節儉。語本《書經．大禹謨》。
名副其實	名聲或名稱與實際相符合。＃語本《後漢書．卷七○．鄭孔荀列傳．孔融》。 △「名不虛傳」
優柔寡斷	優柔，柔弱。「優柔寡斷」形容行事猶豫，不能當機立斷。語本《韓非子．亡徵》。 △「猶豫不決」
雞犬不寧	連雞與狗都不得安寧。比喻被嚴重騷擾。語本唐．柳宗元〈捕蛇者說〉。
玩物喪志	一味玩賞珍奇異品，因而喪失了原有的壯志。語出《書經．旅獒》。後來「玩物喪志」用來形容沉溺於某樣事物，因而荒廢了應做的事。
沆瀣一氣	沆瀣，夜間的水氣。「沆瀣一氣」比喻彼此志同道合，意氣相投。語出宋．錢易《南部新書．戊集》。後亦用「沆瀣一氣」比喻彼此臭味相投。 △「臭味相投」
抱頭鼠竄	抱著腦袋，像老鼠似地亂竄。形容倉皇逃跑的狼狽樣子。語本《漢書．卷四五．蒯伍江息夫傳．蒯通》。
物以類聚	同類的人或事物常聚集在一起。語本《易經．繫辭上》。後亦用「物以類聚」比喻壞人互相勾結。 △「類聚群分」
狗尾續貂	裝飾在官帽上的貂尾不夠用，便用狗尾代替。比喻任官太濫。語本《晉書．卷五九．趙王倫列傳》。後用「狗尾續貂」比喻事物以壞續好，前後不相稱。
聲色俱厲	說話時的聲音和臉色都很嚴厲。※＃語或出晉．裴啟《語林》。 △「正言厲色」
陳陳相因	舊穀一年一年地累積堆陳。語出《史記．卷三○．平準書》。後用「陳陳相因」比喻因襲舊例，缺乏創新。
升堂入室	登上大廳，進入內室。比喻學問或技藝循序漸進，而達到高深的境界。語本《論語．先進》。
華而不實	只開花而不結果，比喻虛浮而不切實際。語出《左傳．文公五年》。 △「金玉其外，敗絮其中」、「虛有其表」
墨守成規	「墨守」，堅持固守。＃語本《戰國策．齊策六》。「成規」，前人制定的規矩辦法。語出《三國志．卷四四．蜀書．蔣琬等傳》。「墨守成規」指固守舊規不肯改變，形容行事保守。 △「故步自封」
鋌而走險	鋌，快速奔逃。走險，採取冒險的行動。「鋌而走險」指在窮途末路或受逼迫時採取冒險行動或不正當的行為。語出《左傳．文公十七年》。 △「畏首畏尾」、「鹿死不擇音」
左右逢源	「左右逢源」之「源」，典源作「原」。「原」，同「源」。左右兩邊都能夠得到水源。指學道有得，即可得心應手，取用不竭。語本《孟子．離婁下》。後來「左右逢源」用來比喻辦事得心應手或處事圓融。
傾國傾城	傾，傾覆。「傾國傾城」，指傾覆城邦家國。形容女子的美豔，會帶來禍害。＃語本漢．袁康《越絕書．卷九．越絕計倪外傳一一》。後用「傾國傾城」形容女子極為美麗動人。
待價而沽	等待較好的價錢才賣出。比喻人等待良機，出為世用。語本《論語．子罕》。後亦用「待價而沽」比喻商品等待買主出高價買下。
焚膏繼晷	膏，油脂，指燈燭。晷，日影、日光。「焚膏繼晷」指燃燒燈燭讀書寫作一直到第二天日光出現。形容夜以繼日地勤讀不怠。語本唐．韓愈〈進學解〉。後亦用「焚膏繼晷」形容不眠不休地工作或活動。
狡兔三窟	狡猾的兔子有三處藏身的洞穴。比喻有多處藏身的地方或多種避禍的準備。語本《戰國策．齊策四》。 △「高枕無憂」
忠言逆耳	誠懇正直的規勸往往刺耳，而不易被人接受。＃語本《韓非子．外儲說左上》。 △「良藥苦口」、「良藥苦口，忠言逆耳」
嗟來之食	以不敬的招呼聲施食予人。指不敬之食。典出《禮記．檀弓下》。後用「嗟來之食」比喻侮辱性或不懷好意的施捨。
斷章取義	截取某詩篇的一章或一句為己用，借來表達自己的意思，而不顧原詩作者的本意。語本《左傳．襄公二十八年》。後用「斷章取義」泛指截取別人的詩文或談話中的某一段落為己用，而不顧其原意。
上下其手	以手勢高舉和向下來暗示對方，以進行舞弊的伎倆。典出《左傳．襄公二十六年》。後用「上下其手」比喻玩弄手段，暗中作弊。或形容帶有邪念，不禮貌地觸摸他人身體。
一日三秋	雖只一日不見，卻好像隔了好久的時間。比喻思念心切。語本《詩經．王風．采葛》。
出生入死	人從出生到死亡的過程。語出《老子》第五○章。後用「出生入死」比喻冒險犯難，隨時有喪失生命的危險。 △「赴湯蹈火」
諱莫如深	諱，隱諱。莫如，不如。深，重大。「諱莫如深」指沒有什麼比重大的事更需要嚴守祕密的了，形容隱瞞重大的醜聞。語出《穀梁傳．莊公三十二年》。後用以比喻將事情隱瞞得非常嚴密，不為外人所知。 △「守口如瓶」
一字千金	對著作有能增損一字者予千金。典出《史記．卷八五．呂不韋列傳》。後用「一字千金」比喻文辭精當，結構嚴謹。或用來形容價值極高的作品。亦可以用以指書法上一字價值千金。
日薄西山	薄，迫近之義。「日薄西山」指太陽迫近西邊的山，比喻人已近老，生命將盡。語出《漢書．卷八七．揚雄傳》。後亦用「日薄西山」比喻事物接近衰亡。 △「日薄崦嵫」、「奄奄一息」
首鼠兩端	形容猶豫不決的樣子。語出《史記．卷一○七．魏其武安侯列傳》。
心曠神怡	心情開朗，精神愉悅。語出宋．范仲淹〈岳陽樓記〉。
洞若觀火	像觀看火光一樣清楚。比喻觀察事物非常透澈。語本《書經．盤庚上》。 △「有條不紊」、「明察秋毫」
心腹之患	形容致命的禍患或隱藏在內部的危害。◎語本《左傳．哀公十一年》。
專心致志	專一心思，集中精神。語出《孟子．告子上》。 △「一暴十寒」、「專心一意」、「專精一思」
嘔心瀝血	「嘔心」，把心吐出來。＃語本南朝梁．劉勰《文心雕龍．隱秀》。「瀝血」，把血滴盡。語出南朝梁．元帝〈與諸藩令〉。「嘔心瀝血」比喻費盡心思，用盡心血。
兵不血刃	兵刃尚未沾上敵人的鮮血，尚未實際交戰，即已征服了敵人。語出《荀子．議兵》。後亦用「兵不血刃」比喻輕易得勝。
循循善誘	善於循序漸進地誘導別人。語本《論語．子罕》。 △「欲罷不能」
利令智昏	形容受利慾迷惑，使得理智昏亂。語出《史記．卷七六．平原君虞卿列傳》。 △「見利忘義」、「見利忘親」
暴殄天物	殄，音ㄊㄧㄢˇ，滅絕。天物，指鳥獸草木等自然界生物。「暴殄天物」指殘害各種生物。語出《書經．武成》。後用「暴殄天物」比喻蹧蹋物力，不知珍惜。
不翼而飛	「不翼而飛」之「不」，典源作「無」。翼，翅膀。「不翼而飛」指沒有翅膀也會飛走。原比喻消息、言論等不待推廣便迅速傳播。＃語本《管子．戒》。後來「不翼而飛」多用於比喻物品無故遺失。 △「不脛而走」
人面桃花	女子容貌美麗，可與桃花爭豔。語出唐．崔護〈題都城南莊〉詩。後亦用「人面桃花」形容景色依舊，而人事已非的感傷。
塞翁失馬	比喻暫時受到損失，卻因禍得福，終於得到好處。典出《淮南子．人間》。
置之度外	不放在心上，不加理會。＃語本《東觀漢記．卷一．光武帝紀》。 △「置之腦後」、「置之膜外」
得過且過	能夠過得去就暫且這樣過下去。※語或本宋．陸游〈雜詠〉詩。後用「得過且過」形容苟且偷安，不求上進。
怙惡不悛	怙，憑恃。悛，悔改。「怙惡不悛」指人作惡多端，不肯悔改。語本《左傳．隱公六年》。
七嘴八舌	形容人多口雜，議論紛亂。※語或出明．馮惟敏〈仙桂引．想當年怕盤弄這條蛇〉曲。
不修邊幅	「不修邊幅」，典源本作「修飾邊幅」，指修整布帛邊緣，使它變得整齊。比喻講究衣飾儀容或形式小節。語本《後漢書．卷二四．馬援列傳》。後反義轉用「不修邊幅」形容不講究衣飾儀容，或形容不拘形式小節。 △「妄自尊大」、「修飾邊幅」、「蓬頭垢面」
手無寸鐵	「手無寸鐵」之「鐵」，典源作「刃」。手上沒有短小鋒利的武器。形容手上沒有拿任何武器。語本南朝宋．劉敬叔《異苑．卷一○．楊香搤虎》。 △「赤手空拳」
玉石俱焚	美玉和石頭一同被燒毀。語出《書經．胤征》。後用「玉石俱焚」比喻不論賢愚、善惡、好壞同時受害，盡皆毀滅。 △「同歸於盡」
危言聳聽	故意說些誇大、嚇人的話，使聽的人驚駭。※＃語或本宋．呂祖謙〈館職策〉。 △「駭人聽聞」、「聳人聽聞」
如雷貫耳	好像雷聲傳入耳朵那樣響亮。比喻人名氣很大，眾所共聞。※語或出元．鄭廷玉《楚昭公》第四折。
瓜熟蒂落	瓜熟了，瓜蒂自然脫落。語本南朝梁．張纘〈瓜賦〉。後用「瓜熟蒂落」比喻懷胎足月生產，亦用於比喻時機成熟，事情自然成功。 △「水到渠成」
任勞任怨	「任勞」，擔當勞苦。語本漢．桓寬《鹽鐵論．刺權》。「任怨」，承受嫌怨。語本《漢書．卷九三．佞幸傳．石顯》。後用「任勞任怨」形容人做事熱心負責，不辭勞苦，不怕嫌怨。
口誅筆伐	誅，誅殺。伐，征討。「口誅筆伐」就是用言語和文字來揭發、譴責他人的罪狀。語出明．張岱《瑯嬛文集．卷三．書牘．與李翁硯書》引宋．呂祖謙語。
一手遮天	比喻玩弄權術、瞞上欺下的行徑。語本唐．曹鄴〈讀李斯傳〉詩。 △「瞞天過海」
七手八腳	形容人多動作紛亂又沒條理。※語或出《續傳燈錄．卷二二．慶元府育王佛照德光禪師》。 △「手忙腳亂」
一波三折	原指書法中的一捺，筆鋒需作三次轉折，使之曲折多姿。＃語本晉．王羲之〈題衛夫人筆陣圖後〉。後用「一波三折」形容聲音、文章的跌宕起伏多變，或比喻事情進行得曲折不順。
一觸即發	一經觸動就立即有所感發或反應。※語或本明．李開先〈原性堂記〉。後用「一觸即發」比喻很緊張的情勢或很危險的時刻。 △「劍拔弩張」
羽毛未豐	羽毛尚未長滿成熟。比喻勢力或能力不夠雄厚，還不足以獨當一面。語本《戰國策．秦策一》。 △「少不更事」、「乳臭未乾」
七竅生煙	七竅，指兩眼、兩耳、兩鼻孔及口七孔。「七竅生煙」指眼耳鼻口都冒出火來，形容焦急或氣憤到了極點。※語或出《說唐演義》第三○回。
有聲有色	原指人擁有美好的名聲和榮顯的地位。聲，謂聲調鏗鏘，借指人美好的聲譽。色，謂容色茂美，借指人榮顯的地位。語出宋．汪藻〈翠微堂記〉。後用「有聲有色」形容用言語、文章表達意見或描述事物，音容或辭采茂美，淋漓盡致，生動感人。也用以比喻事物的豐富多采。 △「有聲有情」
含血噴人	嘴裡含著血噴人，比喻捏造事實，誣賴他人。＃語本宋．釋曉瑩《羅湖野錄》卷上。 △「含沙射影」
力爭上游	比喻努力奮鬥，求取上進。※＃語或本清．趙翼〈閒居讀書作〉詩六首之五。
心悅誠服	誠心誠意地歸服。語本《孟子．公孫丑上》。 △「心服口服」
一孔之見	由一個小孔看到的事物。比喻人的見識狹隘淺薄，無法通曉整體。語本漢．桓寬《鹽鐵論．相刺》。 △「一隅之見」、「井底之蛙」
改弦易轍	「改弦」，改換樂弦。語本漢．董仲舒〈元光元年舉賢良對策〉。「易轍」，改變車行方向。語本《晏子》。「改弦易轍」比喻改變制度、做法或態度。 △「改弦更張」
簞食瓢飲	只吃一碗飯，只喝一瓢水。形容生活簡單、清苦。語本《論語．雍也》。 △「陋巷簞瓢」
